abandon,"1.freedom from constraint
2.withdraw"
abase,lower
abash,embarrass
abate,"1.reduce degree intensity
2.reduce amount or value"
abbreviate,to shorten
abdicate,renounce a throne
aberrant,deviating from the usual or nomal way
abet,encourage
abeyance,a state of temporary inactivity: something is in abeyance 
abhor,extreme repugnance
abiding,enduring
abject,sunk to or existing in a low state or condition; cast down in spirit; showing hopelessness; expressing or offered in a humble and often ingratiating spirit 
abjure,"1.rejecting
2.resist"
abnegate,"deny, renounce: abnegated their god; surrender, relinquish: abnegated her powers "
abominate,abhor
aboveboard,free from deceit or duplicity
abrade,wear away by friction
abridge,shorten
abrogate,to abolish via authoritative action: annul  
abscond,depart secretly
absolute,"1.unrestrained
2.unqualified
3.free from imperfection
4.unquestionable"
absolve,"free from guilt, exculpate"
abstain,refrain by one's own choice
abstemious,"restraint food or alcohol, sparing"
abstract,"1.summarize
2.away attention"
abstruse,recondite
absurd,unreasonable
abundant,great plenty
abuse,"1.condemn or villify
2.wrong or improper use"
acquainted,having information
abysmal,immeasurably low
accede,approval or conscent
ad hoc,for the particular end or case at head without consideration of broader application
accessible,"1.within easy reach
2.understood"
accessory,"secondary, supplementary"
accidental,unexpectedly
acclimate,to change to make it suitable
accolade,"1.approval
2.praise"
accommodate,"make suitable
free of conflicts"
accentuate,to make noticable: accentuate her pale face
accrete,grow gradually
accumulate,increase gradually
acerbic,"sharply or bitingly ciritical, sarcastic, or ironic in temper, mood or tone"
acme,highest
acquiesce,accept tacitly or passively
acrid,deeply bitter
acrimonious,angry and bitter: an acrimonious dispute 
acumen,keen in perception 
acute,"1.keen discernment
2.extreme"
adamant,unshakeable inflexible
adapt,modify
addict,"1.surrender obsessively
2.habitual liking"
adhere,according to the commands
adjourn,suspend
adjunct,not essentially a part
ad-lib,without previous preparation
admonish,"1.give advice
2.reprove gently"
adore,"1.pleasure
2.tenderness"
adulate,extreme or excessive admiration or flattery
adulterate,"to corrupt, debase, or make impire by the addition of a foreign or inferior substance or element"
adumbrate,"to foreshadow vaguely; to suggest, disclose, or outline partially"
adventitious,not inherent or innate
adversary,resists; enemy
advert,to turn the mind or attention (to): adverted to the speaker 
advocate,support
affable,ease friendliness
affinity,"1.attraction
2.in common"
affluent,sufficient
aggrandize,to make great or greater; to make appear great or greater: praise highly 
aggravate,"worse, serious, severe"
aggregate,"1.units or parts
2.collect or gather"
aggressive,"1.attack
2.forcefulness"
aggrieve,"pain, trouble, distress"
agitate,"1.arouse
2.trouble the mind; disturb"
agog,"full of intense interest or excitement, wide open, full of wonder or surprise, abundantly filled "
agonize,agony
airtight,no flaw
alacrity,promptness in response: cheerful readiness 
alibi,excuse
alienate,"unfriendly, hostile, indifferent"
align,adjust
allay,to reduce in intensity or severity 
allegiance,devotion or loyalty
alleviate,"relieve, lessen"
allude,indirectly
allure,attract or delight
ally,"1.association
2.enter"
aloft,in flight
aloof,distant
altruism,unselfish
amalgamate,"combine, unite"
ambiguous,"doubtful, uncertain"
amble,walk slowly or leisurely
ambrosial,extremely pleasing
ameliorate,become better; improve
amenable,"yield, submit"
amenity,"1.comfort
2.pleasant or agreeable"
amiable,"friendly, sociable, and congenial; generally agreeable"
amicable,friendly
amity,friendship: especially friendly relations between nations 
amorphous,shapeless
anodyne,not causing hurt
anarchist,rebel against any authority
anathema,hated
ancillary,"1.secondary importance
2.supplementary"
anecdote,short narrative interesting
anemic,lacking force
anesthetic,lacking awareness
animate,"1.high-spirited energy
2.support"
animus,spiteful malevolent enmity
annoy,disturb by repeated acts
annul,legally invalid
anomalous,out of ordinary
anonymous,not named
antagonize,"1.opposition
2.incur hostility"
antediluvian,extremely old
anterior,before
antic,clownish
apathy,lack interest or concern
aphorism,short witty
apocalyptic,"1.prophetic
2.major turning"
apocryphal,doubtful authenticity
apoplectic,extremely angry
apostasy,abandonment of loyalty
appall,consternation
appeal,"1.application
2.accuse"
appealing,"attractive, inviting"
applause,approval
apposite,pertinent or appropriate
appreciable,perceptible
